"Nombre de imagen","PID","Nombre de sesi�n","N�m. de sesi�n","Uso de memoria","Estado","Nombre de usuario","Tiempo de CPU","T�tulo de ventana"
"System Idle Process","0","Services","0","8 KB","Unknown","NT AUTHORITY\SYSTEM","33:40:46","N/D"
"System","4","Services","0","1.924 KB","Unknown","N/D","0:07:53","N/D"
"Registry","148","Services","0","88.480 KB","Unknown","N/D","0:00:00","N/D"
"smss.exe","548","Services","0","1.080 KB","Unknown","N/D","0:00:00","N/D"
"csrss.exe","812","Services","0","5.804 KB","Unknown","N/D","0:00:02","N/D"
"wininit.exe","908","Services","0","6.528 KB","Unknown","N/D","0:00:00","N/D"
"services.exe","984","Services","0","9.384 KB","Unknown","N/D","0:00:07","N/D"
"lsass.exe","996","Services","0","24.492 KB","Unknown","N/D","0:00:09","N/D"
"svchost.exe","1088","Services","0","27.596 KB","Unknown","N/D","0:00:06","N/D"
"fontdrvhost.exe","1116","Services","0","3.056 KB","Unknown","N/D","0:00:00","N/D"
"WUDFHost.exe","1184","Services","0","5.888 KB","Unknown","N/D","0:00:25","N/D"
"svchost.exe","1248","Services","0","16.272 KB","Unknown","N/D","0:00:22","N/D"
"svchost.exe","1296","Services","0","8.096 KB","Unknown","N/D","0:00:01","N/D"
"svchost.exe","1440","Services","0","6.968 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","1444","Services","0","11.396 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","1464","Services","0","11.364 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","1624","Services","0","9.040 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","1632","Services","0","11.120 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","1784","Services","0","5.856 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","1824","Services","0","13.452 KB","Unknown","N/D","0:00:01","N/D"
"svchost.exe","1860","Services","0","14.728 KB","Unknown","N/D","0:00:01","N/D"
"svchost.exe","1900","Services","0","13.724 KB","Unknown","N/D","0:00:06","N/D"
"svchost.exe","1916","Services","0","7.456 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","980","Services","0","11.092 KB","Unknown","N/D","0:00:01","N/D"
"svchost.exe","104","Services","0","5.580 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","1564","Services","0","10.220 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","2084","Services","0","6.636 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","2172","Services","0","7.204 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","2232","Services","0","7.080 KB","Unknown","N/D","0:00:00","N/D"
"dasHost.exe","2304","Services","0","11.592 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","2384","Services","0","10.576 KB","Unknown","N/D","0:00:00","N/D"
"NVDisplay.Container.exe","2452","Services","0","18.676 KB","Unknown","N/D","0:00:02","N/D"
"svchost.exe","2460","Services","0","9.200 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","2524","Services","0","6.288 KB","Unknown","N/D","0:00:00","N/D"
"AsusCertService.exe","2592","Services","0","9.500 KB","Unknown","N/D","0:00:46","N/D"
"svchost.exe","2652","Services","0","7.016 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","2736","Services","0","7.824 KB","Unknown","N/D","0:00:01","N/D"
"svchost.exe","2888","Services","0","13.628 KB","Unknown","N/D","0:00:27","N/D"
"svchost.exe","2896","Services","0","5.384 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","2904","Services","0","6.624 KB","Unknown","N/D","0:00:00","N/D"
"Memory Compression","2988","Services","0","815.120 KB","Unknown","N/D","0:00:40","N/D"
"svchost.exe","3032","Services","0","7.296 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","2128","Services","0","7.756 KB","Unknown","N/D","0:00:03","N/D"
"svchost.exe","1912","Services","0","8.224 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","3076","Services","0","19.108 KB","Unknown","N/D","0:00:39","N/D"
"WmiPrvSE.exe","3208","Services","0","11.756 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","3396","Services","0","6.888 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","3692","Services","0","7.468 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","3856","Services","0","8.800 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","4032","Services","0","8.472 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","3196","Services","0","8.112 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","3516","Services","0","15.324 KB","Unknown","N/D","0:00:04","N/D"
"svchost.exe","4288","Services","0","17.468 KB","Unknown","N/D","0:00:12","N/D"
"atkexComSvc.exe","4300","Services","0","8.852 KB","Unknown","N/D","0:00:01","N/D"
"audiodg.exe","4364","Services","0","17.600 KB","Unknown","N/D","0:01:53","N/D"
"svchost.exe","4568","Services","0","5.848 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","4576","Services","0","8.648 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","4620","Services","0","12.748 KB","Unknown","N/D","0:00:00","N/D"
"spoolsv.exe","4712","Services","0","14.192 KB","Unknown","N/D","0:00:01","N/D"
"svchost.exe","4752","Services","0","17.300 KB","Unknown","N/D","0:00:01","N/D"
"svchost.exe","5000","Services","0","7.396 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","4476","Services","0","7.884 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","4488","Services","0","13.720 KB","Unknown","N/D","0:00:01","N/D"
"AsusFanControlService.exe","4500","Services","0","10.896 KB","Unknown","N/D","0:00:01","N/D"
"svchost.exe","4508","Services","0","26.152 KB","Unknown","N/D","0:00:02","N/D"
"ArmouryCrate.Service.exe","4156","Services","0","26.324 KB","Unknown","N/D","0:00:01","N/D"
"svchost.exe","4148","Services","0","9.684 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","4216","Services","0","6.876 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","4140","Services","0","5.696 KB","Unknown","N/D","0:00:00","N/D"
"RazerCentralService.exe","4780","Services","0","75.120 KB","Unknown","N/D","0:00:08","N/D"
"svchost.exe","5124","Services","0","42.204 KB","Unknown","N/D","0:00:08","N/D"
"nvcontainer.exe","5136","Services","0","35.476 KB","Unknown","N/D","0:00:02","N/D"
"RtkAudUService64.exe","5144","Services","0","9.548 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","5152","Services","0","5.056 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","5176","Services","0","20.424 KB","Unknown","N/D","0:00:00","N/D"
"GameManagerService.exe","5184","Services","0","64.268 KB","Unknown","N/D","0:00:18","N/D"
"RtkBtManServ.exe","5200","Services","0","6.028 KB","Unknown","N/D","0:00:00","N/D"
"GameSDK.exe","5208","Services","0","6.164 KB","Unknown","N/D","0:00:00","N/D"
"ROGLiveService.exe","5216","Services","0","19.676 KB","Unknown","N/D","0:00:02","N/D"
"LightingService.exe","5244","Services","0","23.640 KB","Unknown","N/D","0:00:01","N/D"
"MsMpEng.exe","5324","Services","0","285.772 KB","Unknown","N/D","0:10:55","N/D"
"svchost.exe","5504","Services","0","6.444 KB","Unknown","N/D","0:00:00","N/D"
"TeamViewer_Service.exe","5576","Services","0","22.392 KB","Unknown","N/D","0:00:02","N/D"
