Nombre de imagen,PID,Nombre de sesi�n,N�m. de sesi�n,Uso de memoria,Estado,Nombre de usuario,Tiempo de CPU,T�tulo de ventana
System Idle Process,0,Services,0,8 KB,Unknown,NT AUTHORITY\SYSTEM,82:23:37,N/D
System,4,Services,0,2.208 KB,Unknown,N/D,0:32:53,N/D
Registry,148,Services,0,83.388 KB,Unknown,N/D,0:00:00,N/D
smss.exe,548,Services,0,680 KB,Unknown,N/D,0:00:00,N/D
csrss.exe,812,Services,0,5.080 KB,Unknown,N/D,0:00:02,N/D
wininit.exe,908,Services,0,6.252 KB,Unknown,N/D,0:00:00,N/D
services.exe,984,Services,0,9.324 KB,Unknown,N/D,0:00:17,N/D
lsass.exe,996,Services,0,26.456 KB,Unknown,N/D,0:00:22,N/D
svchost.exe,1088,Services,0,28.580 KB,Unknown,N/D,0:00:17,N/D
fontdrvhost.exe,1116,Services,0,2.320 KB,Unknown,N/D,0:00:00,N/D
WUDFHost.exe,1184,Services,0,5.348 KB,Unknown,N/D,0:00:40,N/D
svchost.exe,1248,Services,0,16.248 KB,Unknown,N/D,0:00:44,N/D
svchost.exe,1296,Services,0,7.896 KB,Unknown,N/D,0:00:02,N/D
svchost.exe,1440,Services,0,6.412 KB,Unknown,N/D,0:00:00,N/D
svchost.exe,1444,Services,0,12.368 KB,Unknown,N/D,0:00:00,N/D
svchost.exe,1464,Services,0,11.012 KB,Unknown,N/D,0:00:00,N/D
svchost.exe,1624,Services,0,8.556 KB,Unknown,N/D,0:00:00,N/D
svchost.exe,1632,Services,0,10.684 KB,Unknown,N/D,0:00:00,N/D
svchost.exe,1784,Services,0,5.360 KB,Unknown,N/D,0:00:00,N/D
svchost.exe,1824,Services,0,12.448 KB,Unknown,N/D,0:00:02,N/D
svchost.exe,1860,Services,0,14.492 KB,Unknown,N/D,0:00:03,N/D
svchost.exe,1900,Services,0,14.260 KB,Unknown,N/D,0:00:14,N/D
svchost.exe,1916,Services,0,6.768 KB,Unknown,N/D,0:00:00,N/D
svchost.exe,980,Services,0,10.916 KB,Unknown,N/D,0:00:02,N/D
svchost.exe,104,Services,0,4.988 KB,Unknown,N/D,0:00:00,N/D
svchost.exe,1564,Services,0,9.900 KB,Unknown,N/D,0:00:00,N/D
svchost.exe,2084,Services,0,5.840 KB,Unknown,N/D,0:00:00,N/D
svchost.exe,2172,Services,0,6.672 KB,Unknown,N/D,0:00:01,N/D
svchost.exe,2232,Services,0,7.396 KB,Unknown,N/D,0:00:00,N/D
dasHost.exe,2304,Services,0,16.248 KB,Unknown,N/D,0:00:00,N/D
svchost.exe,2384,Services,0,10.204 KB,Unknown,N/D,0:00:00,N/D
NVDisplay.Container.exe,2452,Services,0,18.464 KB,Unknown,N/D,0:00:04,N/D
svchost.exe,2460,Services,0,8.932 KB,Unknown,N/D,0:00:01,N/D
svchost.exe,2524,Services,0,5.768 KB,Unknown,N/D,0:00:00,N/D
AsusCertService.exe,2592,Services,0,8.288 KB,Unknown,N/D,0:02:11,N/D
svchost.exe,2652,Services,0,6.604 KB,Unknown,N/D,0:00:01,N/D
svchost.exe,2736,Services,0,7.608 KB,Unknown,N/D,0:00:04,N/D
svchost.exe,2888,Services,0,13.580 KB,Unknown,N/D,0:00:57,N/D
svchost.exe,2896,Services,0,4.800 KB,Unknown,N/D,0:00:00,N/D
svchost.exe,2904,Services,0,6.120 KB,Unknown,N/D,0:00:00,N/D
Memory Compression,2988,Services,0,905.384 KB,Unknown,N/D,0:01:12,N/D
svchost.exe,3032,Services,0,6.904 KB,Unknown,N/D,0:00:00,N/D
svchost.exe,2128,Services,0,7.308 KB,Unknown,N/D,0:00:06,N/D
svchost.exe,1912,Services,0,7.492 KB,Unknown,N/D,0:00:01,N/D
svchost.exe,3076,Services,0,19.384 KB,Unknown,N/D,0:01:02,N/D
WmiPrvSE.exe,3208,Services,0,10.972 KB,Unknown,N/D,0:00:01,N/D
svchost.exe,3396,Services,0,6.700 KB,Unknown,N/D,0:00:00,N/D
svchost.exe,3692,Services,0,6.988 KB,Unknown,N/D,0:00:00,N/D
svchost.exe,3856,Services,0,8.312 KB,Unknown,N/D,0:00:00,N/D
svchost.exe,4032,Services,0,7.988 KB,Unknown,N/D,0:00:00,N/D
svchost.exe,3196,Services,0,8.540 KB,Unknown,N/D,0:00:00,N/D
svchost.exe,3516,Services,0,15.400 KB,Unknown,N/D,0:00:34,N/D
svchost.exe,4288,Services,0,20.364 KB,Unknown,N/D,0:00:29,N/D
atkexComSvc.exe,4300,Services,0,8.240 KB,Unknown,N/D,0:00:01,N/D
audiodg.exe,4364,Services,0,20.508 KB,Unknown,N/D,0:05:25,N/D
svchost.exe,4568,Services,0,5.296 KB,Unknown,N/D,0:00:00,N/D
svchost.exe,4576,Services,0,8.112 KB,Unknown,N/D,0:00:00,N/D
svchost.exe,4620,Services,0,12.508 KB,Unknown,N/D,0:00:00,N/D
spoolsv.exe,4712,Services,0,13.640 KB,Unknown,N/D,0:00:02,N/D
svchost.exe,4752,Services,0,17.092 KB,Unknown,N/D,0:00:03,N/D
svchost.exe,5000,Services,0,6.868 KB,Unknown,N/D,0:00:00,N/D
svchost.exe,4476,Services,0,7.296 KB,Unknown,N/D,0:00:00,N/D
svchost.exe,4488,Services,0,13.500 KB,Unknown,N/D,0:00:01,N/D
AsusFanControlService.exe,4500,Services,0,10.288 KB,Unknown,N/D,0:00:01,N/D
svchost.exe,4508,Services,0,26.220 KB,Unknown,N/D,0:00:02,N/D
ArmouryCrate.Service.exe,4156,Services,0,25.440 KB,Unknown,N/D,0:00:02,N/D
svchost.exe,4148,Services,0,9.040 KB,Unknown,N/D,0:00:00,N/D
svchost.exe,4216,Services,0,6.284 KB,Unknown,N/D,0:00:00,N/D
svchost.exe,4140,Services,0,4.944 KB,Unknown,N/D,0:00:00,N/D
RazerCentralService.exe,4780,Services,0,97.576 KB,Unknown,N/D,0:00:18,N/D
svchost.exe,5124,Services,0,40.076 KB,Unknown,N/D,0:00:16,N/D
nvcontainer.exe,5136,Services,0,34.804 KB,Unknown,N/D,0:00:04,N/D
RtkAudUService64.exe,5144,Services,0,9.216 KB,Unknown,N/D,0:00:01,N/D
svchost.exe,5152,Services,0,4.468 KB,Unknown,N/D,0:00:00,N/D
svchost.exe,5176,Services,0,20.280 KB,Unknown,N/D,0:00:00,N/D
GameManagerService.exe,5184,Services,0,65.148 KB,Unknown,N/D,0:00:37,N/D
RtkBtManServ.exe,5200,Services,0,5.472 KB,Unknown,N/D,0:00:01,N/D
GameSDK.exe,5208,Services,0,5.348 KB,Unknown,N/D,0:00:00,N/D
ROGLiveService.exe,5216,Services,0,22.904 KB,Unknown,N/D,0:00:05,N/D
LightingService.exe,5244,Services,0,21.444 KB,Unknown,N/D,0:00:06,N/D
MsMpEng.exe,5324,Services,0,233.712 KB,Unknown,N/D,0:21:20,N/D
svchost.exe,5504,Services,0,5.764 KB,Unknown,N/D,0:00:00,N/D
TeamViewer_Service.exe,5576,Services,0,21.516 KB,Unknown,N/D,0:00:04,N/D
escsvc64.exe,5780,Services,0,5.580 KB,Unknown,N/D,0:00:00,N/D
svchost.exe,5932,Services,0,4.228 KB,Unknown,N/D,0:00:00,N/D
svchost.exe,6248,Services,0,8.148 KB,Unknown,N/D,0:00:00,N/D
svchost.exe,6360,Services,0,11.784 KB,Unknown,N/D,0:00:00,N/D
Aac3572DramHal_x86.exe,7172,Services,0,7.332 KB,Unknown,N/D,0:00:01,N/D
Razer Synapse Service.exe,7472,Services,0,106.136 KB,Unknown,N/D,0:01:24,N/D
unsecapp.exe,8096,Services,0,5.744 KB,Unknown,N/D,0:00:00,N/D
NisSrv.exe,7732,Services,0,9.392 KB,Unknown,N/D,0:00:01,N/D
AacKingstonDramHal_x64.exe,8088,Services,0,6.704 KB,Unknown,N/D,0:00:00,N/D
svchost.exe,7760,Services,0,9.456 KB,Unknown,N/D,0:00:00,N/D
dllhost.exe,5108,Services,0,9.032 KB,Unknown,N/D,0:00:00,N/D
extensionCardHal_x86.exe,8256,Services,0,7.324 KB,Unknown,N/D,0:00:00,N/D
AacKingstonDramHal_x86.exe,8360,Services,0,7.132 KB,Unknown,N/D,0:00:00,N/D
Aac3572MbHal_x86.exe,8472,Services,0,8.060 KB,Unknown,N/D,0:06:23,N/D
svchost.exe,7184,Services,0,19.668 KB,Unknown,N/D,0:00:04,N/D
svchost.exe,4736,Services,0,19.196 KB,Unknown,N/D,0:00:00,N/D
svchost.exe,9152,Services,0,11.396 KB,Unknown,N/D,0:00:03,N/D
SearchIndexer.exe,9484,Services,0,49.724 KB,Unknown,N/D,0:00:51,N/D
svchost.exe,9696,Services,0,20.548 KB,Unknown,N/D,0:00:00,N/D
svchost.exe,11540,Services,0,12.516 KB,Unknown,N/D,0:00:00,N/D
svchost.exe,11336,Services,0,18.160 KB,Unknown,N/D,0:00:01,N/D
SecurityHealthService.exe,15944,Services,0,11.712 KB,Unknown,N/D,0:00:00,N/D
svchost.exe,9544,Services,0,15.668 KB,Unknown,N/D,0:00:03,N/D
